Country Name,Year,Indicator Name,Value
Finland,2020,"Adolescent fertility rate (births per 1,000 women ages 15-19)",3.799
Finland,2019,"Adolescent fertility rate (births per 1,000 women ages 15-19)",4.048
Finland,2018,"Adolescent fertility rate (births per 1,000 women ages 15-19)",4.372
Finland,2017,"Adolescent fertility rate (births per 1,000 women ages 15-19)",4.957
Finland,2016,"Adolescent fertility rate (births per 1,000 women ages 15-19)",5.598
Finland,2015,"Adolescent fertility rate (births per 1,000 women ages 15-19)",6.394
Finland,2014,"Adolescent fertility rate (births per 1,000 women ages 15-19)",7.352
Finland,2013,"Adolescent fertility rate (births per 1,000 women ages 15-19)",7.566
Finland,2012,"Adolescent fertility rate (births per 1,000 women ages 15-19)",7.749
Finland,2011,"Adolescent fertility rate (births per 1,000 women ages 15-19)",7.918
Finland,2010,"Adolescent fertility rate (births per 1,000 women ages 15-19)",8.407
Finland,2009,"Adolescent fertility rate (births per 1,000 women ages 15-19)",8.48
Finland,2008,"Adolescent fertility rate (births per 1,000 women ages 15-19)",8.59
Finland,2007,"Adolescent fertility rate (births per 1,000 women ages 15-19)",8.871
Finland,2006,"Adolescent fertility rate (births per 1,000 women ages 15-19)",9.262
Finland,2005,"Adolescent fertility rate (births per 1,000 women ages 15-19)",10.057
Finland,2004,"Adolescent fertility rate (births per 1,000 women ages 15-19)",10.676
Finland,2003,"Adolescent fertility rate (births per 1,000 women ages 15-19)",10.817
Finland,2002,"Adolescent fertility rate (births per 1,000 women ages 15-19)",11.236
Finland,2001,"Adolescent fertility rate (births per 1,000 women ages 15-19)",10.672
Finland,2000,"Adolescent fertility rate (births per 1,000 women ages 15-19)",9.928
Finland,1999,"Adolescent fertility rate (births per 1,000 women ages 15-19)",9.488
Finland,1998,"Adolescent fertility rate (births per 1,000 women ages 15-19)",9.18
Finland,1997,"Adolescent fertility rate (births per 1,000 women ages 15-19)",9.436
Finland,1996,"Adolescent fertility rate (births per 1,000 women ages 15-19)",10.991
Finland,1995,"Adolescent fertility rate (births per 1,000 women ages 15-19)",10.091
Finland,1994,"Adolescent fertility rate (births per 1,000 women ages 15-19)",10.099
Finland,1993,"Adolescent fertility rate (births per 1,000 women ages 15-19)",10.203
Finland,1992,"Adolescent fertility rate (births per 1,000 women ages 15-19)",11.043
Finland,1991,"Adolescent fertility rate (births per 1,000 women ages 15-19)",11.702
Finland,1990,"Adolescent fertility rate (births per 1,000 women ages 15-19)",12.311
Finland,1989,"Adolescent fertility rate (births per 1,000 women ages 15-19)",12.348
Finland,1988,"Adolescent fertility rate (births per 1,000 women ages 15-19)",12.904
Finland,1987,"Adolescent fertility rate (births per 1,000 women ages 15-19)",12.777
Finland,1986,"Adolescent fertility rate (births per 1,000 women ages 15-19)",13.501
Finland,1985,"Adolescent fertility rate (births per 1,000 women ages 15-19)",14.372
Finland,1984,"Adolescent fertility rate (births per 1,000 women ages 15-19)",15.424
Finland,1983,"Adolescent fertility rate (births per 1,000 women ages 15-19)",16.042
Finland,1982,"Adolescent fertility rate (births per 1,000 women ages 15-19)",16.998
Finland,1981,"Adolescent fertility rate (births per 1,000 women ages 15-19)",17.157
Finland,1980,"Adolescent fertility rate (births per 1,000 women ages 15-19)",18.541
Finland,1979,"Adolescent fertility rate (births per 1,000 women ages 15-19)",19.265
Finland,1978,"Adolescent fertility rate (births per 1,000 women ages 15-19)",21.171
Finland,1977,"Adolescent fertility rate (births per 1,000 women ages 15-19)",23.818
Finland,1976,"Adolescent fertility rate (births per 1,000 women ages 15-19)",26.28
Finland,1975,"Adolescent fertility rate (births per 1,000 women ages 15-19)",27.767
Finland,1974,"Adolescent fertility rate (births per 1,000 women ages 15-19)",27.602
Finland,1973,"Adolescent fertility rate (births per 1,000 women ages 15-19)",26.259
Finland,1972,"Adolescent fertility rate (births per 1,000 women ages 15-19)",28.087
Finland,1971,"Adolescent fertility rate (births per 1,000 women ages 15-19)",29.561
Finland,1970,"Adolescent fertility rate (births per 1,000 women ages 15-19)",32.138
Finland,1969,"Adolescent fertility rate (births per 1,000 women ages 15-19)",34.029
Finland,1968,"Adolescent fertility rate (births per 1,000 women ages 15-19)",36.526
Finland,1967,"Adolescent fertility rate (births per 1,000 women ages 15-19)",37.273
Finland,1966,"Adolescent fertility rate (births per 1,000 women ages 15-19)",36.302
Finland,1965,"Adolescent fertility rate (births per 1,000 women ages 15-19)",33.603
Finland,1964,"Adolescent fertility rate (births per 1,000 women ages 15-19)",29.768
Finland,1963,"Adolescent fertility rate (births per 1,000 women ages 15-19)",26.681
Finland,1962,"Adolescent fertility rate (births per 1,000 women ages 15-19)",23.944
Finland,1961,"Adolescent fertility rate (births per 1,000 women ages 15-19)",25.188
Finland,1960,"Adolescent fertility rate (births per 1,000 women ages 15-19)",28.006
Finland,2020,"Life expectancy at birth, female (years)",84.8
Finland,2019,"Life expectancy at birth, female (years)",84.8
Finland,2018,"Life expectancy at birth, female (years)",84.5
Finland,2017,"Life expectancy at birth, female (years)",84.5
Finland,2016,"Life expectancy at birth, female (years)",84.4
Finland,2015,"Life expectancy at birth, female (years)",84.4
Finland,2014,"Life expectancy at birth, female (years)",84.1
Finland,2013,"Life expectancy at birth, female (years)",84.1
Finland,2012,"Life expectancy at birth, female (years)",83.7
Finland,2011,"Life expectancy at birth, female (years)",83.8
Finland,2010,"Life expectancy at birth, female (years)",83.2
Finland,2009,"Life expectancy at birth, female (years)",83.1
Finland,2008,"Life expectancy at birth, female (years)",83
Finland,2007,"Life expectancy at birth, female (years)",82.9
Finland,2006,"Life expectancy at birth, female (years)",82.8
Finland,2005,"Life expectancy at birth, female (years)",82.3
Finland,2004,"Life expectancy at birth, female (years)",82.3
Finland,2003,"Life expectancy at birth, female (years)",81.8
Finland,2002,"Life expectancy at birth, female (years)",81.5
Finland,2001,"Life expectancy at birth, female (years)",81.5
Finland,2000,"Life expectancy at birth, female (years)",81
Finland,1999,"Life expectancy at birth, female (years)",81.02
Finland,1998,"Life expectancy at birth, female (years)",80.84
Finland,1997,"Life expectancy at birth, female (years)",80.51
Finland,1996,"Life expectancy at birth, female (years)",80.54
Finland,1995,"Life expectancy at birth, female (years)",80.21
Finland,1994,"Life expectancy at birth, female (years)",80.15
Finland,1993,"Life expectancy at birth, female (years)",79.48
Finland,1992,"Life expectancy at birth, female (years)",79.43
Finland,1991,"Life expectancy at birth, female (years)",79.32
Finland,1990,"Life expectancy at birth, female (years)",78.88
Finland,1989,"Life expectancy at birth, female (years)",78.9
Finland,1988,"Life expectancy at birth, female (years)",78.69
Finland,1987,"Life expectancy at birth, female (years)",78.71
Finland,1986,"Life expectancy at birth, female (years)",78.76
Finland,1985,"Life expectancy at birth, female (years)",78.51
Finland,1984,"Life expectancy at birth, female (years)",78.76
Finland,1983,"Life expectancy at birth, female (years)",78.36
Finland,1982,"Life expectancy at birth, female (years)",78.58
Finland,1981,"Life expectancy at birth, female (years)",78.09
Finland,1980,"Life expectancy at birth, female (years)",77.85
Finland,1979,"Life expectancy at birth, female (years)",77.55
Finland,1978,"Life expectancy at birth, female (years)",77.43
Finland,1977,"Life expectancy at birth, female (years)",76.96
Finland,1976,"Life expectancy at birth, female (years)",76.31
Finland,1975,"Life expectancy at birth, female (years)",76.14
Finland,1974,"Life expectancy at birth, female (years)",75.55
Finland,1973,"Life expectancy at birth, female (years)",75.69
Finland,1972,"Life expectancy at birth, female (years)",75.02
Finland,1971,"Life expectancy at birth, female (years)",74.32
Finland,1970,"Life expectancy at birth, female (years)",74.4
Finland,1969,"Life expectancy at birth, female (years)",73.56
Finland,1968,"Life expectancy at birth, female (years)",73.55
Finland,1967,"Life expectancy at birth, female (years)",73.59
Finland,1966,"Life expectancy at birth, female (years)",73.17
Finland,1965,"Life expectancy at birth, female (years)",72.85
Finland,1964,"Life expectancy at birth, female (years)",72.96
Finland,1963,"Life expectancy at birth, female (years)",72.68
Finland,1962,"Life expectancy at birth, female (years)",72.24
Finland,1961,"Life expectancy at birth, female (years)",72.24
Finland,1960,"Life expectancy at birth, female (years)",72.4